,x,y,ClusterID
cell1,41,66,3
cell2,42,66,3
cell3,43,66,3
cell4,43,65,3
cell5,43,67,3
cell6,43,68,3
cell7,44,66,3
cell8,43,64,3
cell9,45,66,3
cell10,44,67,3
cell11,44,64,3
cell12,44,65,3
cell13,45,67,3
cell14,45,65,3
cell15,45,64,3
cell16,45,68,3
cell17,44,63,3
cell18,46,64,3
cell19,44,62,3
cell20,49,50,3
cell21,43,69,3
cell22,44,69,3
cell23,44,70,3
cell24,45,63,3
cell25,45,62,3
cell26,46,66,3
cell27,96,62,3
cell28,43,70,3
cell29,46,67,3
cell30,46,65,3
cell31,44,71,3
cell32,43,71,3
cell33,44,72,3
cell34,42,70,3
cell35,47,64,3
cell36,47,65,3
cell37,44,61,3
cell38,76,84,3
cell39,47,66,3
cell40,43,72,3
cell41,42,68,3
cell42,42,71,3
cell43,45,69,3
cell44,46,68,3
cell45,48,66,3
cell46,42,69,3
cell47,46,69,3
cell48,46,63,3
cell49,46,62,3
cell50,41,71,3
cell51,45,71,3
cell52,78,77,3
cell53,47,63,3
cell54,48,65,3
cell55,45,72,3
cell56,45,73,3
cell57,47,68,3
cell58,47,69,3
cell59,48,63,3
cell60,48,64,3
cell61,48,67,3
cell62,46,71,3
cell63,49,66,3
cell64,46,61,3
cell65,43,61,3
cell66,49,67,3
cell67,48,62,3
cell68,49,63,3
cell69,50,67,3
cell70,49,65,3
cell71,48,68,3
cell72,44,60,3
cell73,47,62,3
cell74,46,72,3
cell75,49,64,3
cell76,45,74,3
cell77,48,69,3
cell78,50,65,3
cell79,47,71,3
cell80,47,70,3
cell81,50,66,3
cell82,47,61,3
cell83,49,68,3
cell84,46,73,3
cell85,51,66,3
cell86,50,63,3
cell87,50,64,3
cell88,48,61,3
cell89,47,72,3
cell90,46,70,3
cell91,51,65,3
cell92,85,47,3
cell93,49,70,3
cell94,49,62,3
cell95,49,61,3
cell96,50,69,3
cell97,51,69,3
cell98,51,63,3
cell99,48,60,3
cell100,48,72,3
cell101,50,68,3
cell102,52,65,3
cell103,48,70,3
cell104,46,60,3
cell105,48,71,3
cell106,50,70,3
cell107,47,60,3
cell108,51,64,3
cell109,49,71,3
cell110,51,68,3
cell111,50,62,3
cell112,51,67,3
cell113,46,74,3
cell114,47,73,3
cell115,51,70,3
cell116,52,64,3
cell117,52,63,3
cell118,44,74,3
cell119,53,64,3
cell120,46,75,3
cell121,50,87,3
cell122,50,60,3
cell123,50,61,3
cell124,51,60,3
cell125,50,59,3
cell126,49,59,3
cell127,47,74,3
cell128,53,63,3
cell129,46,76,3
cell130,52,69,3
cell131,51,61,3
cell132,46,77,3
cell133,48,59,3
cell134,52,67,3
cell135,51,62,3
cell136,45,60,3
cell137,52,68,3
cell138,47,77,3
cell139,48,73,3
cell140,50,71,3
cell141,52,61,3
cell142,47,59,3
cell143,49,73,3
cell144,53,65,3
cell145,53,61,3
cell146,45,59,3
cell147,48,74,3
cell148,68,85,3
cell149,48,58,3
cell150,53,62,3
cell151,50,72,3
cell152,46,59,3
cell153,52,70,3
cell154,62,70,3
cell155,52,66,3
cell156,52,60,3
cell157,51,59,3
cell158,50,58,3
cell159,51,71,3
cell160,45,77,3
cell161,47,75,3
cell162,54,63,3
cell163,52,71,3
cell164,47,76,3
cell165,53,68,3
cell166,52,72,3
cell167,51,72,3
cell168,46,78,3
cell169,52,73,3
cell170,50,57,3
cell171,54,65,3
cell172,53,70,3
cell173,54,68,3
cell174,54,64,3
cell175,52,62,3
cell176,65,49,3
cell177,62,88,3
cell178,48,75,3
cell179,48,76,3
cell180,46,79,3
cell181,53,66,3
cell182,53,72,3
cell183,53,67,3
cell184,50,73,3
cell185,54,62,3
cell186,51,73,3
cell187,55,63,3
cell188,54,69,3
cell189,47,79,3
cell190,52,59,3
cell191,48,77,3
cell192,47,78,3
cell193,47,58,3
cell194,48,78,3
cell195,54,67,3
cell196,76,45,3
cell197,53,60,3
cell198,49,74,3
cell199,51,57,3
cell200,50,74,3
cell201,53,71,3
cell202,51,58,3
cell203,49,56,3
cell204,50,56,3
cell205,55,64,3
cell206,53,73,3
cell207,56,64,3
cell208,87,74,3
cell209,55,68,3
cell210,47,57,3
cell211,51,74,3
cell212,55,62,3
cell213,49,78,3
cell214,54,70,3
cell215,54,61,3
cell216,55,61,3
cell217,54,66,1
cell218,50,75,1
cell219,48,79,1
cell220,55,66,1
cell221,56,61,1
cell222,54,60,1
cell223,55,67,1
cell224,55,69,1
cell225,51,75,1
cell226,52,58,1
cell227,53,59,1
cell228,56,66,1
cell229,45,70,1
cell230,57,62,1
cell231,56,63,1
cell232,54,71,1
cell233,54,72,1
cell234,49,75,1
cell235,55,60,1
cell236,49,55,1
cell237,53,58,1
cell238,54,59,1
cell239,48,56,1
cell240,49,76,1
cell241,49,77,1
cell242,48,55,1
cell243,55,72,1
cell244,50,77,1
cell245,48,54,1
cell246,54,58,1
cell247,55,65,1
cell248,55,70,1
cell249,52,75,1
cell250,49,79,1
cell251,49,80,1
cell252,56,65,1
cell253,52,76,1
cell254,57,63,1
cell255,47,80,1
cell256,50,76,1
cell257,57,64,1
cell258,53,75,1
cell259,48,80,1
cell260,55,71,1
cell261,51,76,1
cell262,55,58,1
cell263,50,78,1
cell264,53,74,1
cell265,66,61,1
cell266,45,61,1
cell267,54,73,1
cell268,50,55,1
cell269,49,81,1
cell270,50,54,1
cell271,49,54,1
cell272,58,64,1
cell273,52,77,1
cell274,57,61,1
cell275,51,77,1
cell276,49,53,1
cell277,54,57,1
cell278,50,79,1
cell279,56,70,1
cell280,54,74,1
cell281,51,78,1
cell282,62,68,1
cell283,55,73,1
cell284,82,44,1
cell285,56,58,1
cell286,51,79,1
cell287,58,63,1
cell288,57,70,1
cell289,53,76,1
cell290,56,67,1
cell291,48,53,1
cell292,53,77,1
cell293,58,61,1
cell294,53,57,1
cell295,47,55,1
cell296,57,59,1
cell297,52,78,1
cell298,47,54,1
cell299,55,74,1
cell300,57,58,1
cell301,57,66,1
cell302,51,56,1
cell303,58,62,1
cell304,54,76,1
cell305,56,73,1
cell306,59,62,1
cell307,56,69,1
cell308,57,60,1
cell309,75,88,1
cell310,54,75,1
cell311,56,68,1
cell312,55,59,1
cell313,50,53,1
cell314,82,74,1
cell315,60,56,1
cell316,50,80,1
cell317,56,71,1
cell318,55,57,1
cell319,51,80,1
cell320,54,77,1
cell321,58,65,1
cell322,56,57,1
cell323,52,79,1
cell324,59,65,1
cell325,51,55,1
cell326,50,81,1
cell327,58,60,1
cell328,52,80,1
cell329,57,65,1
cell330,52,81,1
cell331,54,56,1
cell332,56,74,1
cell333,49,52,1
cell334,57,74,1
cell335,50,52,1
cell336,57,68,1
cell337,75,68,1
cell338,59,61,1
cell339,51,53,1
cell340,49,51,1
cell341,57,71,1
cell342,55,77,1
cell343,60,61,1
cell344,57,73,1
cell345,49,82,1
cell346,56,72,1
cell347,57,67,1
cell348,48,57,1
cell349,51,52,1
cell350,58,68,1
cell351,52,56,1
cell352,50,82,1
cell353,52,57,1
cell354,51,81,1
cell355,56,75,1
cell356,58,71,1
cell357,58,58,1
cell358,58,57,1
cell359,58,69,1
cell360,55,75,1
cell361,59,63,1
cell362,56,56,1
cell363,57,75,1
cell364,54,78,1
cell365,57,57,1
cell366,53,78,1
cell367,50,83,1
cell368,58,87,1
cell369,53,81,1
cell370,60,63,1
cell371,49,83,1
cell372,56,76,1
cell373,89,80,1
cell374,53,56,1
cell375,49,84,1
cell376,57,76,1
cell377,51,54,1
cell378,59,59,1
cell379,59,58,1
cell380,59,66,1
cell381,56,55,1
cell382,54,79,1
cell383,55,56,1
cell384,58,70,1
cell385,59,69,1
cell386,52,82,1
cell387,60,65,1
cell388,58,67,1
cell389,52,55,1
cell390,52,83,1
cell391,60,62,1
cell392,50,51,1
cell393,54,55,1
cell394,53,80,1
cell395,61,65,1
cell396,53,55,1
cell397,50,50,1
cell398,59,57,1
cell399,59,67,1
cell400,54,80,1
cell401,50,84,1
cell402,62,65,1
cell403,63,65,1
cell404,59,68,1
cell405,52,54,1
cell406,55,55,1
cell407,62,64,1
cell408,54,81,1
cell409,57,56,1
cell410,59,70,1
cell411,56,82,1
cell412,53,54,1
cell413,62,63,1
cell414,63,63,1
cell415,63,66,1
cell416,60,67,1
cell417,51,51,1
cell418,61,63,1
cell419,64,63,1
cell420,52,52,1
cell421,55,80,1
cell422,57,72,1
cell423,62,62,1
cell424,60,64,1
cell425,51,83,1
cell426,54,54,1
cell427,60,69,1
cell428,54,82,1
cell429,61,64,1
cell430,52,51,1
cell431,65,63,1
cell432,60,68,1
cell433,55,79,1
cell434,81,48,1
cell435,55,81,1
cell436,53,51,1
cell437,60,59,1
cell438,50,85,1
cell439,64,62,1
cell440,49,85,1
cell441,61,68,1
cell442,61,62,1
cell443,56,54,1
cell444,60,60,1
cell445,57,55,1
cell446,55,54,1
cell447,53,53,1
cell448,58,72,1
cell449,61,61,1
cell450,58,76,1
cell451,62,66,1
cell452,55,76,1
cell453,50,86,1
cell454,56,77,1
cell455,53,83,1
cell456,51,50,1
cell457,61,66,1
cell458,63,64,1
cell459,48,85,1
cell460,60,66,1
cell461,58,73,1
cell462,54,83,1
cell463,59,73,1
cell464,61,60,1
cell465,63,62,1
cell466,61,67,1
cell467,62,67,1
cell468,57,77,1
cell469,59,74,1
cell470,64,65,1
cell471,55,53,1
cell472,58,77,1
cell473,64,64,1
cell474,60,70,1
cell475,56,53,1
cell476,56,81,1
cell477,55,78,1
cell478,62,61,1
cell479,54,51,1
cell480,61,69,1
cell481,60,58,1
cell482,55,82,1
cell483,51,84,1
cell484,55,51,1
cell485,65,64,1
cell486,54,53,1
cell487,78,66,1
cell488,61,59,1
cell489,58,74,1
cell490,58,75,1
cell491,51,86,1
cell492,62,60,1
cell493,59,77,1
cell494,56,79,1
cell495,56,78,1
cell496,57,79,1
cell497,58,78,1
cell498,59,72,1
cell499,52,53,1
cell500,57,78,1
cell501,61,88,1
cell502,53,84,1
cell503,53,52,1
cell504,58,55,1
cell505,54,50,1
cell506,61,70,1
cell507,60,71,1
cell508,55,50,1
cell509,56,62,1
cell510,61,71,1
cell511,56,51,1
cell512,59,71,1
cell513,59,78,1
cell514,60,73,1
cell515,51,85,1
cell516,54,52,1
cell517,59,75,1
cell518,59,56,1
cell519,63,67,1
cell520,58,54,1
cell521,51,87,1
cell522,57,54,1
cell523,52,87,1
cell524,59,55,1
cell525,63,61,1
cell526,59,76,1
cell527,56,50,1
cell528,58,53,1
cell529,55,83,1
cell530,58,79,1
cell531,70,55,1
cell532,52,84,1
cell533,60,77,1
cell534,63,68,1
cell535,61,58,1
cell536,56,80,1
cell537,61,56,1
cell538,60,55,1
cell539,55,52,1
cell540,61,55,1
cell541,56,49,1
cell542,57,80,1
cell543,66,64,1
cell544,52,86,1
cell545,58,52,1
cell546,57,49,1
cell547,56,52,1
cell548,64,61,1
cell549,49,87,1
cell550,60,74,1
cell551,53,87,1
cell552,49,88,1
cell553,58,80,1
cell554,63,69,1
cell555,60,75,1
cell556,63,60,1
cell557,65,62,1
cell558,57,81,1
cell559,61,57,1
cell560,48,83,1
cell561,62,71,1
cell562,64,68,1
cell563,57,82,1
cell564,64,60,1
cell565,61,75,1
cell566,53,50,1
cell567,56,83,1
cell568,58,81,1
cell569,57,52,1
cell570,65,65,1
cell571,54,87,1
cell572,59,79,1
cell573,52,85,1
cell574,63,59,1
cell575,59,54,1
cell576,59,52,1
cell577,64,59,1
cell578,62,69,1
cell579,59,80,1
cell580,47,83,1
cell581,66,62,1
cell582,53,85,1
