"","2","6","10","19","80","91"
"1",0,0,0,0,0,0
"2",0,0,0,0,-7.9790725020571,0
"3",0,8.41987241366709,3.24630369202352,0,0,0
"4",0,0,0.437108919667577,0,0,0
"5",0,-4.0857861788508,-1.57888780890653,0,0,0
"6",0,0,3.56633738452381,0,0,4.37570043356559
"7",0,0,0,6.39640014401531,0,2.94579240260165
"8",0,0,0,0,0,0
"9",0,0,0,3.55208809795898,0,0
"10",0,0,0,0,0,0
"11",0,0,0,-1.88392518557523,0,0
"12",0,0,0,0,0,0
"13",0,3.81980002806068,0,0,0,-2.15853469324452
"14",0,0,3.93004875518667,0,0,0
"15",0,0,-0.639834389945947,0,0,-0.310788663010179
"16",0,0,0,0,0,0
"17",0,0,0,0,-3.58433050537426,0
"18",2.79600861157489,0,0,0,0,0
"19",-3.02619141785567,0,0,0,0,0
"20",0,0,0,0,0,0
"21",0,0,0,0,4.60252812656739,0
"22",0,-3.01913060160544,0,0,0,3.10913582036068
"23",0,0,0.149545374423575,0,0,0
"24",0,-3.39326554322214,-0.363309693872907,-2.52303897172084,0,0
"25",0,0,0,0,0,-0.210526696919918
"26",0,0,0,0,0,0
"27",0,0,7.62979961404428,0,7.70086857866722,0
"28",0,0,0,0,0,0
"29",0,-11.3634165486582,2.28392696334984,2.36656624320101,0,0
"30",0,11.620653823699,0,-2.79003404522164,0,0
"31",0,0,-6.13245008816102,0,0,0
"32",5.10269125604651,-6.11555827074586,0,-0.317551187999053,0,0
"33",0,1.17958046652177,0,0,0,0
"34",1.98910213009584,0,-2.78321773394693,3.71265038606117,0,0
"35",0,0,0,-3.21588499569415,0,0
"36",0,2.18778452891097,0,0,-3.95639059381459,0
"37",-2.61364500514974,0,0,0,0,0
"38",0,0,0,0,0,0
"39",-0.772402935926608,0,0,-2.79669083386291,0,0
"40",0,0,0,8.68323053414517,0,-1.97220520240334
"41",-2.71466605369719,0,5.06494120395156,0,0,0
"42",0,0,0,0,0,0
"43",0,0,0,0,0,0
"44",0,0.920204374417728,0,0,0,-0.781010770589491
"45",0,0,0,0,-2.72346860685873,0
"46",0,0,0,4.70440329572275,0,-5.60714803016652
"47",0,0,0,0,-2.71696712002954,6.12679032256761
"48",0,0,0,0,0,0
"49",-1.95304885426521,0,0,4.29493161660384,-6.48538329343093,6.65289637661222
"50",0,0.411916078883247,0,0,0,0
"51",0,0,0,0,0,0
"52",0,0,6.07245158873583,0,0,1.08813343098322
"53",4.89008872772758,0,0,0,0,0
"54",0,0,0,0,0,0
"55",0,0,0,0.576664015795086,1.28120000419353,0
"56",0,0,0,0,0,0
"57",0,0,0,0.633887505259866,0,0
"58",0,0,0,0,0,0
"59",0,-1.43646465338625,0,0,0,0.133282577410493
"60",-0.970347004721032,0,0,0,0,0
"61",0,0,4.09402132946619,0,0,0
"62",0,0,0,0,0,1.4936125665056
"63",0,9.96649893072644,0,0,0,-4.46292592596749
"64",0,0,0,0,9.67665706277952,2.18177176742514
"65",0,0,0,0,1.07289276076968,0
"66",0,0,0,0,3.47299320613007,0
"67",0,3.43423273826475,-1.37762418121144,0,0,0
"68",0,0,0,0,0,0.604529125914622
"69",0,0,0,0,0,0
"70",0,7.45371428469233,0,0,0,0
"71",0,0,0,0.940557165014742,0,0
"72",0,0,0.955741707786268,0,0,0
"73",5.65267769812416,-4.20364942315195,0,0,-6.90394319329,-8.38380960675949
"74",0,-4.56450148673094,0,0,0,0
"75",0,0,0,0,0,0
"76",0,0,0,0,0,0
"77",-2.89653273295492,6.49297222805239,0,0,0,0.287541923543666
"78",0,0.117906466123042,0,0,2.89823642273334,0
"79",0,0,0,2.13722381399168,0,0
"80",0,-9.4769389493644,-10.8094826045381,0,0,0
"81",0,0,0,0,0,-1.12215752391595
"82",0,0,-1.48627530296921,0,0,1.49501401979061
"83",0,0,0,0,0,0
"84",0,0,0,0,0,0
"85",0.832664461658307,0,-3.5997237129623,0,-6.11646916249651,0
"86",0,0,0,0,0,0
"87",0,0,0,0,0,0
"88",0,-5.15188273201135,0,0,0,0
"89",0,0,5.3167859828123,1.04197291581042,-4.1586009711509,0
"90",0,0,-7.06508748800444,0,0,0
"91",0,0,0,0,3.93280899440842,0
"92",0,0,-3.72729063716686,0,-9.67984774959131,-0.900461713716023
"93",0,0,0,0,0,0
"94",0,0,0,0,0,0
"95",0.209288569232357,3.78538899626605,-0.614546871869772,0,2.13311215797215,0
"96",0,-5.75809733494217,3.00535503441016,0,3.4807739710666,0
"97",2.61532102908657,5.5463799464667,0,0,0,1.15230279448897
"98",0.218195559724687,0,0,0,0,0
"99",0,0,3.14256711700886,0,0,0
"100",0,0,0,0,1.69368764954961,0.759223386911217
"102",0,0,0,0,0,0
"103",0,0,0,0,0,0
"104",0,0,0,0,0,0
"105",0,0,0,0,0,0
"105",0,0,0,0,0,0
"106",0,0,0,0,0,0
"107",0,0,0,0,0,0
"108",0,0,0,0,0,0
"109",0,0,0,0,0,0
"110",0,0,0,0,0,0
