,ClusterID
cell1317,3
cell1389,2
cell764,1
cell157,3
cell191,3
cell1668,2
cell521,3
cell91,3
cell1168,3
cell1898,3
cell777,1
cell1929,3
cell341,0
cell1036,3
cell598,1
cell50,2
cell527,3
cell1054,3
cell42,2
cell195,3
cell46,2
cell205,3
cell1083,3
cell1348,3
cell1136,3
cell1015,3
cell329,0
cell1096,3
cell1402,2
cell1493,2
cell989,3
cell549,3
cell1702,2
cell1983,3
cell1694,2
cell14,2
cell909,1
cell1977,3
cell1872,3
cell435,3
cell1403,2
cell1255,3
cell24,2
cell129,3
cell1645,2
cell966,1
cell70,2
cell1786,2
cell1548,2
cell1614,2
cell994,3
cell1487,2
cell1669,2
cell1632,2
cell1601,2
cell27,2
cell1944,3
cell366,0
cell1811,3
cell968,1
cell892,1
cell1427,2
cell471,3
cell953,1
cell1086,3
cell1796,2
cell313,0
cell262,0
cell1275,3
cell72,2
cell75,2
cell1578,2
cell776,1
cell1690,2
cell470,3
cell315,0
cell1251,3
cell532,3
cell1615,2
cell69,2
cell586,1
cell1491,2
cell1093,3
cell1959,3
cell493,3
cell1360,3
cell1685,2
cell1756,2
cell996,3
cell1572,2
cell330,0
cell116,3
cell1679,2
cell1473,2
cell194,3
cell1341,3
cell987,1
cell599,1
cell1263,3
cell1413,2
cell193,3
cell1293,3
cell327,0
cell395,0
cell975,1
cell272,0
cell1883,3
cell1432,2
cell969,1
cell604,1
cell914,1
cell148,3
cell831,1
cell20,2
cell802,1
cell1146,3
cell1613,2
cell589,1
cell837,1
cell1585,2
cell1133,3
cell1574,2
cell895,1
cell364,0
cell79,2
cell1527,2
cell253,0
cell1315,3
cell1252,3
cell1438,2
cell1154,3
cell61,2
cell1505,2
cell600,1
cell423,3
cell1557,2
cell1287,3
cell1687,2
cell1848,3
cell533,3
cell615,1
cell1903,3
cell1665,2
cell1454,2
cell1660,2
cell565,3
cell472,3
cell674,1
cell1478,2
cell1344,3
cell1110,3
cell1542,2
cell350,0
cell49,2
cell1719,2
cell1712,2
cell182,3
cell352,0
cell82,3
cell704,1
cell503,3
cell284,0
cell451,3
cell1942,3
cell757,1
cell408,0
cell1404,2
cell52,2
cell1327,3
cell97,3
cell424,3
cell1798,2
cell1728,2
cell1776,2
cell199,3
cell1609,2
cell1546,2
cell1833,3
cell1511,2
cell1644,2
cell1398,2
cell1,2
cell236,3
cell1925,3
cell274,0
cell122,3
cell873,1
cell377,0
cell1902,3
cell868,1
cell464,3
cell1297,3
cell33,2
cell655,1
cell1501,2
cell404,0
cell775,1
cell1145,3
cell275,0
cell900,1
cell1406,2
cell1180,3
cell1999,3
cell1676,2
cell1312,3
cell859,1
cell110,3
cell970,1
cell768,1
cell1907,3
cell1444,2
cell1332,3
cell1043,3
cell972,1
cell773,1
cell1954,3
cell381,0
cell1070,3
cell220,3
cell1987,3
cell139,3
cell799,1
cell452,3
cell1581,2
cell1057,3
cell1410,2
cell1887,3
cell1762,2
cell1589,2
cell1747,2
cell1076,3
cell708,1
cell433,3
cell1044,3
cell1122,3
cell1259,3
cell389,0
cell1187,3
cell502,3
cell1177,3
cell1841,3
cell941,1
cell1429,2
cell1587,2
cell222,3
cell1943,3
cell316,0
cell1248,3
cell752,1
cell530,3
cell1759,2
cell561,3
cell1900,3
cell609,1
cell993,3
cell399,0
cell1994,3
cell173,3
cell155,3
cell744,1
cell1161,3
cell1349,3
cell340,0
cell1875,3
cell730,1
cell597,1
cell792,1
cell235,3
cell1242,3
cell107,3
cell1465,2
cell711,1
cell1064,3
cell737,1
cell800,1
cell1439,2
cell888,1
cell1009,3
cell696,1
cell1769,2
cell1904,3
cell886,1
cell896,1
cell1188,3
cell358,0
cell542,3
cell56,2
cell1839,3
cell1693,2
cell774,1
cell683,1
cell28,2
cell1440,2
cell1203,3
cell1695,2
cell541,3
cell753,1
cell160,3
cell179,3
cell1419,2
cell1435,2
cell124,3
cell111,3
cell1720,2
cell39,2
cell1024,3
cell141,3
cell641,1
cell1534,2
cell1849,3
cell1920,3
cell1520,2
cell251,0
cell1753,2
cell1992,3
cell1643,2
cell727,1
cell1890,3
cell1952,3
cell910,1
cell1955,3
cell971,1
cell1795,2
cell112,3
cell1212,3
cell1205,3
cell1834,3
cell388,0
cell740,1
cell908,1
cell528,3
cell90,3
