"","2","6","10","19","80","91"
"1",0,0,0,0,-0.0514984276963496,0
"2",1.36638346671926,0,0,0,0,0
"3",0,-1.62518133034148,0,0,0,0.0969294853751168
"4",0,0.528707331443883,0,0,0,0
"5",0,0,-2.69525472822199,0,0,0
"6",0,0,0,0,0,0
"7",0,0,0,0,0,0
"8",0,0,0,0,0,-1.37060008016781
"9",0,0,-3.56381701405817,0,0,0
"10",0,0,0,0,0,0
"11",0,0,0,0,0,1.70038771991681
"12",0,-2.56368520989471,0,0,-0.831725613676442,0
"13",1.96373918469268,-1.11580429528703,0,0,0,0
"14",0,0,0,0,0,0
"15",6.14954709011014,0,0,0,0,0
"16",0,0,0,-1.43413666596635,1.40159657877,0
"17",0,-1.74420341255149,-5.69198277761061,0,0.793766122553011,0
"18",0,0,0,0,0,0
"19",0,0,0,-3.05847133777894,-1.06719244084865,0
"20",0,0,2.53267142184596,0,0,0
"21",0,2.86463135032415,0,0,0,0
"22",0,0,0,1.41428932401314,0,0
"23",0,-0.98141837811338,0,0,0.555118749393336,0
"24",0,0,3.67833259184366,0,0,0
"25",0,0,0,1.85914646182842,-0.796252341491174,0
"26",4.20742115624718,-3.29201740343064,0,0,0,0
"27",0,0,-4.30347826770277,-4.18581989662265,-7.97387790017483,0
"28",0,0,0,-1.95415452112406,0,0
"29",-10.3827097946893,0,0,0,0,0
"30",1.12754727602102,0,0,0,0,0
"31",0,0,0,0,0,0
"32",0,0,0,0,0,0
"33",-9.21143951575155,0,2.95365790699353,0,0,0
"34",0,2.33606124852145,0.332626781277221,-2.49201771599055,0,0
"35",0,0,0,0,-0.958175768844435,0
"36",0,0,0,0,0,0
"37",0,0,0,0,0,-1.83198806682911
"38",0,-6.33257166239552,0.666666343759785,4.04542984249554,0,0
"39",0,0,0,0,10.8259986482565,6.76208404603098
"40",0,6.6462113142375,0,0,0,0
"41",0,0,7.29592487915046,0,0,0
"42",0,0.914465688678362,0,0,0.310721284579479,0
"43",0,0,0,4.92415048509324,0,-5.03796225941714
"44",0,-7.14886694781503,0.465356123682376,0,-5.47368513085839,0
"45",0,0.238145844413387,0,0,0,0
"46",-3.71700483704936,0,0,0,3.59724070258588,0
"47",0,0,0.705981876220552,5.53221466701025,0,0
"48",0,0,0,0,0,0
"49",0,0,0,4.39850518431713,0,-1.87056201719653
"50",0,0,-0.138626680337311,0,-2.65853329379963,0
"51",0,0,0,0,-1.58211277188532,0
"52",0,0,0,0,0.876853918974895,0
"53",0,0,0,0,0,0
"54",0.656468743071334,0,0,0,0,-6.62271577907335
"55",0,0,2.6975486003118,0,0,0
"56",0,0,0,0,0,0
"57",0.522165090967688,0,0,1.28149839684407,3.11281222295648,0
"58",0,0,0,0,0,-0.215396580439204
"59",0,0,0,0,0,0
"60",0.857975162448363,-4.31782694760054,0,0,0,0
"61",-2.26849515525807,-2.99199348075267,0,0,0,0
"62",0,0,2.25015854902525,0,4.54467568863453,1.17112504950589
"63",0,0,0,0,0,0
"64",0,0,0,0,0,0
"65",0,0,2.66596523175007,0,-0.377045753637669,0
"66",0,0,0,0,0,-3.7369053879632
"67",3.35136907523069,0,0,0,3.17428137448741,0
"68",0,0,0,0,0,3.88579425847535
"69",0,0,-0.874092206662947,0,0,0
"70",0,-7.33944640271007,4.67019600556358,0,0,-4.62800924829568
"71",0,0,-1.73651805029145,0,-2.1579249715592,0
"72",0,0,0,4.81717781555607,0,0
"73",0,0,0.494932357904868,0,0,0
"74",-2.59854379497736,0,0,0,0,0
"75",0,0,0,0,0,-5.14779144698917
"76",0,0,0,0,0,0
"77",0,0,0,0,0,0
"78",0,0,0,0,0,-0.722401867978786
"79",0,0,0,0,0,-5.01947280965252
"80",0,0,0,0,0,0
"81",10.8992828126804,0,0,0,-7.64290184396363,0
"82",0,0,0,5.846178067752,0,0
"83",0,-2.79573564059893,0,0,0,-2.35362809286647
"84",0,3.98933565555258,0,0,0,0
"85",0.652716967407796,0,0,0,-3.58333322928738,0
"86",-0.90671173427559,1.99859586188322,0,0,0,0
"87",0,0,0,0,0,-2.36035648842452
"88",0,0,0,0,-0.794301948333306,0
"89",0,2.93877119114499,0,-4.94647716265193,-0.0881245403741168,0
"90",0,0,0,0,0,-1.55411976555118
"91",0,-2.93145510958481,0,0,0,0
"92",2.2615967652541,0.924604223655892,1.59883548005248,0,0,0
"93",1.38726446460502,-5.10596607430022,0,0,0,0
"94",0,-4.12700928066582,0,0,0,0
"95",0,0,-2.76086363513264,0,0,0
"96",0,0.61163848822745,0,0,4.19253853131669,0
"97",0,0,0,0,0,0
"98",0,0,0,0,0,0
"99",0,0,0,-5.04432505078928,-5.22105263602943,0
"100",-5.63280251290841,0,0,0,0,0
"102",0,0,0,0,0,0
"103",0,0,0,0,0,0
"104",0,0,0,0,0,0
"105",0,0,0,0,0,0
"105",0,0,0,0,0,0
"106",0,0,0,0,0,0
"107",0,0,0,0,0,0
"108",0,0,0,0,0,0
"109",0,0,0,0,0,0
"110",0,0,0,0,0,0
