target,hub
1,hub2
10,hub2
100,hub2
11,hub3
13,hub3
15,hub1
16,hub1
17,hub2
18,hub2
19,hub3
2,hub1
20,hub3
22,hub3
23,hub3
25,hub3
28,hub3
29,hub1
3,hub1
30,hub3
32,hub2
34,hub2
35,hub3
36,hub1
38,hub3
39,hub3
4,hub2
40,hub2
43,hub1
44,hub1
45,hub3
46,hub1
47,hub1
48,hub2
49,hub2
5,hub1
52,hub1
53,hub1
54,hub2
55,hub1
57,hub2
59,hub1
6,hub1
60,hub1
63,hub1
64,hub2
68,hub1
69,hub3
70,hub2
71,hub2
73,hub1
74,hub1
75,hub2
76,hub1
78,hub2
79,hub3
8,hub1
80,hub2
82,hub1
83,hub1
85,hub2
86,hub1
87,hub1
88,hub2
89,hub1
9,hub3
90,hub2
91,hub1
93,hub3
94,hub2
96,hub3
97,hub1
98,hub1
99,hub2
