target,hub
1,hub1
10,hub3
100,hub1
13,hub1
14,hub2
16,hub1
17,hub2
18,hub2
19,hub3
2,hub3
20,hub1
21,hub1
22,hub2
23,hub1
24,hub1
25,hub1
27,hub1
28,hub3
29,hub1
3,hub1
30,hub3
31,hub2
33,hub1
34,hub1
35,hub1
37,hub3
38,hub1
4,hub1
40,hub3
42,hub3
43,hub1
44,hub3
45,hub3
48,hub3
49,hub1
5,hub1
50,hub3
52,hub1
53,hub2
54,hub2
56,hub1
57,hub3
58,hub1
6,hub2
60,hub2
61,hub3
62,hub1
63,hub2
64,hub1
65,hub2
66,hub1
69,hub3
7,hub3
70,hub3
71,hub1
72,hub3
74,hub1
75,hub2
77,hub2
78,hub1
79,hub3
81,hub2
84,hub2
85,hub3
86,hub3
87,hub1
88,hub1
89,hub3
9,hub2
90,hub3
91,hub3
93,hub1
95,hub3
96,hub1
97,hub3
99,hub2
