target,hub
1,hub1
10,hub3
100,hub2
11,hub1
12,hub2
13,hub3
14,hub1
15,hub2
16,hub3
17,hub2
18,hub3
19,hub1
2,hub2
20,hub3
21,hub2
23,hub1
24,hub1
25,hub1
27,hub2
28,hub1
29,hub3
3,hub1
30,hub2
31,hub3
32,hub2
33,hub1
34,hub2
35,hub1
37,hub3
39,hub1
40,hub1
42,hub1
43,hub3
44,hub3
45,hub2
46,hub1
47,hub3
49,hub1
5,hub1
50,hub2
52,hub1
53,hub3
54,hub1
55,hub1
56,hub3
57,hub3
58,hub2
59,hub1
6,hub3
61,hub1
62,hub3
63,hub2
65,hub1
68,hub1
69,hub1
7,hub1
71,hub1
72,hub1
74,hub3
78,hub3
79,hub1
80,hub3
81,hub2
82,hub3
85,hub2
86,hub3
9,hub1
90,hub1
94,hub1
95,hub3
96,hub1
98,hub3
