target,hub
1,hub3
10,hub3
100,hub2
11,hub1
12,hub3
13,hub1
14,hub1
15,hub1
16,hub3
17,hub1
18,hub1
19,hub1
2,hub2
20,hub2
21,hub2
22,hub3
23,hub2
24,hub2
26,hub3
27,hub3
29,hub3
3,hub1
30,hub2
31,hub3
33,hub2
34,hub2
35,hub1
36,hub1
37,hub1
38,hub1
39,hub3
4,hub2
40,hub1
41,hub1
44,hub2
45,hub1
46,hub2
47,hub2
48,hub3
49,hub2
50,hub1
51,hub1
52,hub1
54,hub1
55,hub1
56,hub1
57,hub2
59,hub2
60,hub3
61,hub1
62,hub2
63,hub2
65,hub1
67,hub1
68,hub1
7,hub3
70,hub1
72,hub1
73,hub3
74,hub1
75,hub2
76,hub1
77,hub2
78,hub1
79,hub3
8,hub2
81,hub2
82,hub3
83,hub1
84,hub1
86,hub1
88,hub1
9,hub1
91,hub2
92,hub2
95,hub1
97,hub1
98,hub1
99,hub2
