target,hub
1,hub1
10,hub2
11,hub2
12,hub1
14,hub3
18,hub3
2,hub2
20,hub3
23,hub2
24,hub3
26,hub1
27,hub1
28,hub2
29,hub3
3,hub2
30,hub2
31,hub3
33,hub2
34,hub3
35,hub3
36,hub1
38,hub2
4,hub1
41,hub1
42,hub2
44,hub1
45,hub2
46,hub2
47,hub2
49,hub2
50,hub1
51,hub2
52,hub3
53,hub2
54,hub3
55,hub3
56,hub3
57,hub2
58,hub3
59,hub3
6,hub1
60,hub1
61,hub3
63,hub1
64,hub1
65,hub3
67,hub2
68,hub1
69,hub3
71,hub1
72,hub3
73,hub1
74,hub3
76,hub1
77,hub3
78,hub2
79,hub2
8,hub2
80,hub2
82,hub1
83,hub2
84,hub1
86,hub2
87,hub3
88,hub1
89,hub2
9,hub2
90,hub3
92,hub2
93,hub3
95,hub3
96,hub2
97,hub1
98,hub2
