target,hub
100,hub1
14,hub1
15,hub2
16,hub1
17,hub1
18,hub2
20,hub3
21,hub3
22,hub1
23,hub1
24,hub3
25,hub3
26,hub3
27,hub3
28,hub2
3,hub3
30,hub3
32,hub1
34,hub3
35,hub1
36,hub1
39,hub2
4,hub2
40,hub1
41,hub3
42,hub3
43,hub2
44,hub3
45,hub1
46,hub3
47,hub2
48,hub1
49,hub3
5,hub1
50,hub1
52,hub1
53,hub3
54,hub3
55,hub3
56,hub3
57,hub1
59,hub1
6,hub1
61,hub3
63,hub3
64,hub1
66,hub1
67,hub2
68,hub3
7,hub1
70,hub3
71,hub2
72,hub1
73,hub1
74,hub3
75,hub1
76,hub1
77,hub2
78,hub1
79,hub3
8,hub2
80,hub3
81,hub3
82,hub2
83,hub1
84,hub1
85,hub3
86,hub1
87,hub2
88,hub2
89,hub2
9,hub2
90,hub1
91,hub1
95,hub3
96,hub2
97,hub1
99,hub2
