target,hub
1,hub2
10,hub3
100,hub3
12,hub2
13,hub3
14,hub2
17,hub3
18,hub3
19,hub2
2,hub2
21,hub1
22,hub2
24,hub3
25,hub1
26,hub3
27,hub2
28,hub3
29,hub2
31,hub1
32,hub1
33,hub3
34,hub3
35,hub3
36,hub2
37,hub1
38,hub2
39,hub3
40,hub2
41,hub2
42,hub2
44,hub3
45,hub2
48,hub3
49,hub2
50,hub2
51,hub2
53,hub1
54,hub2
55,hub2
56,hub3
58,hub2
59,hub1
6,hub3
60,hub2
63,hub1
64,hub1
65,hub3
66,hub1
67,hub2
68,hub1
69,hub3
7,hub3
70,hub2
71,hub3
72,hub1
73,hub1
74,hub2
75,hub2
77,hub1
78,hub3
8,hub3
80,hub2
81,hub2
82,hub3
83,hub2
84,hub2
85,hub3
86,hub2
87,hub2
89,hub1
9,hub2
92,hub3
93,hub1
94,hub1
95,hub1
96,hub3
97,hub2
99,hub1
