target,hub
1,hub3
10,hub3
100,hub2
12,hub1
15,hub2
16,hub1
17,hub1
19,hub3
2,hub3
20,hub3
22,hub2
23,hub3
25,hub3
26,hub1
27,hub3
28,hub2
29,hub3
3,hub3
30,hub1
31,hub3
36,hub2
37,hub2
38,hub1
39,hub1
4,hub2
40,hub3
42,hub1
43,hub1
44,hub3
45,hub3
46,hub1
48,hub2
5,hub2
50,hub2
51,hub2
52,hub1
54,hub2
55,hub2
56,hub1
57,hub3
58,hub2
60,hub2
61,hub1
64,hub3
7,hub2
70,hub1
71,hub3
74,hub2
75,hub2
76,hub2
77,hub2
78,hub2
79,hub3
8,hub2
80,hub1
82,hub3
83,hub3
84,hub3
85,hub2
86,hub3
87,hub2
88,hub3
89,hub2
9,hub3
90,hub2
91,hub2
92,hub3
93,hub2
94,hub2
95,hub1
96,hub2
97,hub2
99,hub1
