target,hub
10,hub3
11,hub1
14,hub2
15,hub2
16,hub2
18,hub3
19,hub2
2,hub3
20,hub2
22,hub1
23,hub2
24,hub1
25,hub2
26,hub1
28,hub1
29,hub1
3,hub1
30,hub1
32,hub2
33,hub2
34,hub2
35,hub2
36,hub1
38,hub2
39,hub2
40,hub3
41,hub1
42,hub3
43,hub3
44,hub2
46,hub2
47,hub2
48,hub2
49,hub3
50,hub2
51,hub2
52,hub2
53,hub3
54,hub2
57,hub3
58,hub3
59,hub1
6,hub1
60,hub2
62,hub1
63,hub2
64,hub2
65,hub2
66,hub1
67,hub2
68,hub2
69,hub2
70,hub1
71,hub2
73,hub2
74,hub1
75,hub2
76,hub3
77,hub3
79,hub2
8,hub1
80,hub2
81,hub2
82,hub2
83,hub1
86,hub2
87,hub3
90,hub2
91,hub2
92,hub1
93,hub3
94,hub1
95,hub1
96,hub3
97,hub2
98,hub2
99,hub2
