target,hub
10,hub2
100,hub2
13,hub3
14,hub1
16,hub1
17,hub1
18,hub1
19,hub2
20,hub2
22,hub3
23,hub1
24,hub3
25,hub3
26,hub2
28,hub3
29,hub3
3,hub3
30,hub3
31,hub2
32,hub1
33,hub1
35,hub3
37,hub1
39,hub1
4,hub3
40,hub1
42,hub2
43,hub2
44,hub2
45,hub3
46,hub1
49,hub2
5,hub3
50,hub2
51,hub2
53,hub2
54,hub2
55,hub1
56,hub2
58,hub2
59,hub2
6,hub3
60,hub2
61,hub1
62,hub1
63,hub2
64,hub2
65,hub2
66,hub1
67,hub1
69,hub2
7,hub3
70,hub3
71,hub1
72,hub1
73,hub3
74,hub2
75,hub3
77,hub2
78,hub2
79,hub1
8,hub3
80,hub2
82,hub3
83,hub1
84,hub1
86,hub2
88,hub3
89,hub1
9,hub3
90,hub1
93,hub2
94,hub1
95,hub2
97,hub1
99,hub2
