target,hub
1,hub3
10,hub1
100,hub2
11,hub1
12,hub1
13,hub3
14,hub1
15,hub2
16,hub1
17,hub3
18,hub2
19,hub1
2,hub1
20,hub3
21,hub1
24,hub1
25,hub2
26,hub1
27,hub2
29,hub1
3,hub1
33,hub3
34,hub3
37,hub1
38,hub3
39,hub2
41,hub2
42,hub2
43,hub1
44,hub3
45,hub3
47,hub2
5,hub1
50,hub1
51,hub3
52,hub3
53,hub2
54,hub1
55,hub2
56,hub2
57,hub1
58,hub1
6,hub3
61,hub1
62,hub1
63,hub3
64,hub3
65,hub1
66,hub2
67,hub3
68,hub3
69,hub3
70,hub1
71,hub2
72,hub1
73,hub3
74,hub3
75,hub1
76,hub2
77,hub2
78,hub1
79,hub3
8,hub1
80,hub3
81,hub1
82,hub3
83,hub1
84,hub3
85,hub3
86,hub1
87,hub1
89,hub2
9,hub2
90,hub3
92,hub3
93,hub3
94,hub3
95,hub3
97,hub1
98,hub1
99,hub2
