target,hub
1,hub2
10,hub1
100,hub2
11,hub2
12,hub1
13,hub3
14,hub3
15,hub2
17,hub2
18,hub2
19,hub2
2,hub1
20,hub3
21,hub2
23,hub2
24,hub1
25,hub3
26,hub2
27,hub3
29,hub3
3,hub2
30,hub2
31,hub1
32,hub3
35,hub2
36,hub2
37,hub1
38,hub3
4,hub1
40,hub3
41,hub1
42,hub3
43,hub3
44,hub2
46,hub1
47,hub2
48,hub1
49,hub2
5,hub1
50,hub3
52,hub2
53,hub3
54,hub2
55,hub1
56,hub2
57,hub2
58,hub3
59,hub2
6,hub2
60,hub3
61,hub1
62,hub3
63,hub1
66,hub3
69,hub2
7,hub2
70,hub1
71,hub2
72,hub3
73,hub3
74,hub2
76,hub3
77,hub2
78,hub2
79,hub1
8,hub2
80,hub2
81,hub2
82,hub3
83,hub1
84,hub2
86,hub2
87,hub2
88,hub1
92,hub3
93,hub3
94,hub3
95,hub2
97,hub1
98,hub2
99,hub3
