target,hub
1,hub2
10,hub3
100,hub2
11,hub3
12,hub2
15,hub2
16,hub2
17,hub3
18,hub3
19,hub2
2,hub3
20,hub2
21,hub1
22,hub1
23,hub1
24,hub3
28,hub1
29,hub3
31,hub2
32,hub1
34,hub3
35,hub2
36,hub2
38,hub1
39,hub2
4,hub3
41,hub1
43,hub3
45,hub3
46,hub1
47,hub1
48,hub2
49,hub2
50,hub1
51,hub3
52,hub1
53,hub3
54,hub1
56,hub2
57,hub1
59,hub3
6,hub1
61,hub3
62,hub1
63,hub1
64,hub2
65,hub2
66,hub3
67,hub3
68,hub3
69,hub2
71,hub2
72,hub2
74,hub2
75,hub3
76,hub3
77,hub2
79,hub1
81,hub3
82,hub1
83,hub1
84,hub3
85,hub2
86,hub2
88,hub3
90,hub1
91,hub1
92,hub1
94,hub2
95,hub1
96,hub1
97,hub2
99,hub2
