target,hub
10,hub2
100,hub1
11,hub2
12,hub3
13,hub1
14,hub2
15,hub2
16,hub2
18,hub2
19,hub2
2,hub1
20,hub3
21,hub3
22,hub1
23,hub2
24,hub2
25,hub1
27,hub3
28,hub3
29,hub2
3,hub2
30,hub3
31,hub2
32,hub3
34,hub3
36,hub3
37,hub2
38,hub2
39,hub3
4,hub3
40,hub1
42,hub2
44,hub1
45,hub3
46,hub3
48,hub3
49,hub2
50,hub1
51,hub1
52,hub3
53,hub3
54,hub2
57,hub3
58,hub3
59,hub1
6,hub1
60,hub2
61,hub1
62,hub2
63,hub1
64,hub2
66,hub1
67,hub3
68,hub3
7,hub2
70,hub2
71,hub2
72,hub2
73,hub1
74,hub3
76,hub1
77,hub3
78,hub3
79,hub3
8,hub3
81,hub1
82,hub2
84,hub1
85,hub1
86,hub2
87,hub2
9,hub3
90,hub1
91,hub3
93,hub2
94,hub2
95,hub2
96,hub2
97,hub3
99,hub3
