target,hub
1,hub3
10,hub3
100,hub2
11,hub2
12,hub3
13,hub1
14,hub2
17,hub2
19,hub2
20,hub3
21,hub1
24,hub2
26,hub1
27,hub2
28,hub2
29,hub3
3,hub1
32,hub1
34,hub1
36,hub3
37,hub2
38,hub2
39,hub3
4,hub3
40,hub3
41,hub3
42,hub1
44,hub1
45,hub1
47,hub1
49,hub3
5,hub3
50,hub3
51,hub1
52,hub1
55,hub1
56,hub2
57,hub2
58,hub1
59,hub3
6,hub3
60,hub3
62,hub1
63,hub3
64,hub2
65,hub1
66,hub3
67,hub2
68,hub1
69,hub1
7,hub2
70,hub3
72,hub3
73,hub2
74,hub3
75,hub1
76,hub1
77,hub3
79,hub3
8,hub3
80,hub3
81,hub3
82,hub3
83,hub3
84,hub1
85,hub3
87,hub3
89,hub3
9,hub3
91,hub2
92,hub2
93,hub3
94,hub3
95,hub1
97,hub1
99,hub2
