target,hub
1,hub3
10,hub3
100,hub3
11,hub2
14,hub3
16,hub3
17,hub1
18,hub2
20,hub3
22,hub2
23,hub1
25,hub1
27,hub1
28,hub3
29,hub3
3,hub1
31,hub1
32,hub1
33,hub1
34,hub3
35,hub3
36,hub3
37,hub2
4,hub1
40,hub1
41,hub3
42,hub1
43,hub1
44,hub2
45,hub3
46,hub2
47,hub3
48,hub1
49,hub2
5,hub3
50,hub2
52,hub3
53,hub3
56,hub1
59,hub2
6,hub1
60,hub2
63,hub2
64,hub2
66,hub1
67,hub3
68,hub2
69,hub2
7,hub3
70,hub2
71,hub2
73,hub3
74,hub1
75,hub3
76,hub1
77,hub1
78,hub2
80,hub1
81,hub2
82,hub1
83,hub3
84,hub2
85,hub3
87,hub3
88,hub1
89,hub1
90,hub3
92,hub1
93,hub3
94,hub3
95,hub3
97,hub2
98,hub1
99,hub3
