target,hub
100,hub1
11,hub2
12,hub1
13,hub3
14,hub2
15,hub2
16,hub1
17,hub1
18,hub1
19,hub1
2,hub3
20,hub2
21,hub3
22,hub2
23,hub1
24,hub1
25,hub2
28,hub1
29,hub1
3,hub2
30,hub3
31,hub1
32,hub2
33,hub2
36,hub3
37,hub3
38,hub1
40,hub1
41,hub3
43,hub2
44,hub3
45,hub2
47,hub1
48,hub2
49,hub3
5,hub3
50,hub2
51,hub1
52,hub2
53,hub1
55,hub1
56,hub1
57,hub1
59,hub1
6,hub1
60,hub1
61,hub3
62,hub3
63,hub3
66,hub2
67,hub2
68,hub2
69,hub1
71,hub3
72,hub3
73,hub1
75,hub2
76,hub2
77,hub1
79,hub1
8,hub1
80,hub1
81,hub2
86,hub2
87,hub1
88,hub3
89,hub3
90,hub2
91,hub3
92,hub1
93,hub1
94,hub1
95,hub3
96,hub2
97,hub1
98,hub2
99,hub1
