target,hub
1,hub2
10,hub3
100,hub2
11,hub1
12,hub2
13,hub3
14,hub1
15,hub2
16,hub3
17,hub2
18,hub1
19,hub2
2,hub1
20,hub3
21,hub2
22,hub3
23,hub2
26,hub3
27,hub3
29,hub1
3,hub1
30,hub2
31,hub1
33,hub1
34,hub1
35,hub3
36,hub1
37,hub3
38,hub3
39,hub3
4,hub2
40,hub3
41,hub2
44,hub2
45,hub3
46,hub2
47,hub3
48,hub3
49,hub3
50,hub1
51,hub1
52,hub2
54,hub3
55,hub2
56,hub1
57,hub3
58,hub2
59,hub3
6,hub3
60,hub1
62,hub3
63,hub1
65,hub2
67,hub3
69,hub1
7,hub2
71,hub1
72,hub2
73,hub1
75,hub3
76,hub3
77,hub1
78,hub3
79,hub1
8,hub2
81,hub3
82,hub3
83,hub2
84,hub3
86,hub3
88,hub2
9,hub1
90,hub3
91,hub3
92,hub2
95,hub1
96,hub2
97,hub2
98,hub3
99,hub1
