target,hub
10,hub1
100,hub1
11,hub2
12,hub1
13,hub1
14,hub1
15,hub1
16,hub2
17,hub3
18,hub2
19,hub1
2,hub1
20,hub2
22,hub1
25,hub2
26,hub1
27,hub3
28,hub2
3,hub1
30,hub1
31,hub2
32,hub1
33,hub2
34,hub2
35,hub1
36,hub1
37,hub2
38,hub3
39,hub3
4,hub1
41,hub1
42,hub1
43,hub1
44,hub1
45,hub2
48,hub1
49,hub1
5,hub1
50,hub2
51,hub3
52,hub3
53,hub1
54,hub1
56,hub2
59,hub1
6,hub2
61,hub1
62,hub1
65,hub1
66,hub2
67,hub1
69,hub1
7,hub2
70,hub1
72,hub2
73,hub2
74,hub1
75,hub1
76,hub3
79,hub3
8,hub3
80,hub2
81,hub3
82,hub3
83,hub2
85,hub1
86,hub2
87,hub3
88,hub2
89,hub2
90,hub2
91,hub1
92,hub1
93,hub3
94,hub2
95,hub1
98,hub3
99,hub1
