target,hub
1,hub3
10,hub2
100,hub1
11,hub2
12,hub3
14,hub2
15,hub1
16,hub1
18,hub1
19,hub3
20,hub1
22,hub2
23,hub1
24,hub1
25,hub2
26,hub1
28,hub2
29,hub3
30,hub3
31,hub2
32,hub2
33,hub3
34,hub3
35,hub1
36,hub1
37,hub3
38,hub2
4,hub2
40,hub2
41,hub2
42,hub1
44,hub3
45,hub2
46,hub3
47,hub2
48,hub1
49,hub2
5,hub3
51,hub1
52,hub2
53,hub1
54,hub2
55,hub3
56,hub3
57,hub1
59,hub2
6,hub2
61,hub3
62,hub3
63,hub2
65,hub2
66,hub3
67,hub2
68,hub1
69,hub2
7,hub3
70,hub3
71,hub2
72,hub1
73,hub2
74,hub2
76,hub1
77,hub1
78,hub1
79,hub2
8,hub2
80,hub2
81,hub2
82,hub1
83,hub1
84,hub3
85,hub2
86,hub2
91,hub2
92,hub3
93,hub2
94,hub1
96,hub3
98,hub3
