target,hub
1,hub3
10,hub3
11,hub2
12,hub3
16,hub1
17,hub1
2,hub2
20,hub3
22,hub3
23,hub1
24,hub3
25,hub3
26,hub1
27,hub2
28,hub3
29,hub1
3,hub3
31,hub2
32,hub3
33,hub1
34,hub1
35,hub3
36,hub1
37,hub1
38,hub1
39,hub1
4,hub1
40,hub1
41,hub3
42,hub2
43,hub2
44,hub3
46,hub3
47,hub1
48,hub2
49,hub1
50,hub3
51,hub3
53,hub1
54,hub2
55,hub1
57,hub1
58,hub3
59,hub3
6,hub2
60,hub1
61,hub2
62,hub3
63,hub1
64,hub3
66,hub3
67,hub2
69,hub3
7,hub1
72,hub2
73,hub2
74,hub1
75,hub1
76,hub1
77,hub2
78,hub2
79,hub3
8,hub1
80,hub2
81,hub1
82,hub1
83,hub1
84,hub3
85,hub2
86,hub1
87,hub1
88,hub1
89,hub3
9,hub3
90,hub1
91,hub1
92,hub3
94,hub2
95,hub3
97,hub3
99,hub3
