target,hub
1,hub3
10,hub1
100,hub2
11,hub1
12,hub3
13,hub2
14,hub3
15,hub1
17,hub1
2,hub1
21,hub3
23,hub3
24,hub3
26,hub1
27,hub3
28,hub2
29,hub1
3,hub2
31,hub2
32,hub1
33,hub1
34,hub1
35,hub1
36,hub2
37,hub3
38,hub3
39,hub2
4,hub1
40,hub2
41,hub3
42,hub3
43,hub1
44,hub3
46,hub1
47,hub2
48,hub2
49,hub1
50,hub3
51,hub2
52,hub1
53,hub1
54,hub1
55,hub1
57,hub2
58,hub2
59,hub3
6,hub1
60,hub2
61,hub1
62,hub3
64,hub1
66,hub3
67,hub3
68,hub2
7,hub1
70,hub1
72,hub1
74,hub3
75,hub3
76,hub3
77,hub1
78,hub3
79,hub2
8,hub2
80,hub2
81,hub3
82,hub1
83,hub1
84,hub3
85,hub2
87,hub2
89,hub3
9,hub2
92,hub2
94,hub1
95,hub3
97,hub1
98,hub2
99,hub1
