target,hub
1,hub3
10,hub1
100,hub3
12,hub1
13,hub1
14,hub3
15,hub3
17,hub1
19,hub3
2,hub3
20,hub2
21,hub1
22,hub3
23,hub1
25,hub3
28,hub1
29,hub3
3,hub1
31,hub2
32,hub3
33,hub3
35,hub1
36,hub1
37,hub1
38,hub1
39,hub3
41,hub3
42,hub1
43,hub3
45,hub1
46,hub1
47,hub3
48,hub3
49,hub1
50,hub1
51,hub1
52,hub1
53,hub3
54,hub2
55,hub3
56,hub1
58,hub2
59,hub2
60,hub1
61,hub1
62,hub3
63,hub1
64,hub2
67,hub2
7,hub1
71,hub2
72,hub2
73,hub2
74,hub2
76,hub3
77,hub3
8,hub1
80,hub1
81,hub2
82,hub3
83,hub2
84,hub3
85,hub1
86,hub3
87,hub3
9,hub3
90,hub2
91,hub2
92,hub1
93,hub3
94,hub3
97,hub1
98,hub3
