target,hub
1,hub1
10,hub3
100,hub1
11,hub1
13,hub1
14,hub3
15,hub3
16,hub1
18,hub1
19,hub2
2,hub3
20,hub2
21,hub2
22,hub1
23,hub3
26,hub2
27,hub1
28,hub1
30,hub3
31,hub1
32,hub1
33,hub3
34,hub1
35,hub1
36,hub3
38,hub2
39,hub3
4,hub1
41,hub2
42,hub2
43,hub3
44,hub3
47,hub3
48,hub3
49,hub2
5,hub1
50,hub1
51,hub1
52,hub1
54,hub3
55,hub1
56,hub3
58,hub3
59,hub3
60,hub2
61,hub3
62,hub2
63,hub1
64,hub2
65,hub3
66,hub1
67,hub1
68,hub1
69,hub1
7,hub1
70,hub3
71,hub3
72,hub2
73,hub1
76,hub3
77,hub3
8,hub1
80,hub1
81,hub3
82,hub2
84,hub3
85,hub3
86,hub1
87,hub3
88,hub1
89,hub1
9,hub2
93,hub1
94,hub3
97,hub2
98,hub1
99,hub2
