target,hub
1,hub1
100,hub2
11,hub2
12,hub3
13,hub2
14,hub2
15,hub2
16,hub1
17,hub3
19,hub2
2,hub1
20,hub1
21,hub2
23,hub2
24,hub2
25,hub2
26,hub2
27,hub1
28,hub2
29,hub1
30,hub1
31,hub3
33,hub1
35,hub3
37,hub3
38,hub3
4,hub2
40,hub1
41,hub2
42,hub3
43,hub1
44,hub1
47,hub3
49,hub2
5,hub2
50,hub2
51,hub2
52,hub2
54,hub1
55,hub1
56,hub2
60,hub2
61,hub2
62,hub2
63,hub2
64,hub2
66,hub2
67,hub2
68,hub2
69,hub3
7,hub2
72,hub1
73,hub2
75,hub3
76,hub1
77,hub3
78,hub3
8,hub1
80,hub2
81,hub2
82,hub1
83,hub2
84,hub1
85,hub3
86,hub1
87,hub2
88,hub1
89,hub2
9,hub2
91,hub3
92,hub1
93,hub3
95,hub2
96,hub2
97,hub2
98,hub1
