target,hub
1,hub3
100,hub3
11,hub1
12,hub3
13,hub3
14,hub2
15,hub3
16,hub2
19,hub1
2,hub2
20,hub3
21,hub1
24,hub3
25,hub1
27,hub2
28,hub3
29,hub2
30,hub3
31,hub3
35,hub3
36,hub1
37,hub3
38,hub1
4,hub3
40,hub1
41,hub3
42,hub3
43,hub1
44,hub3
45,hub1
46,hub3
47,hub2
48,hub3
49,hub1
50,hub1
51,hub3
52,hub1
53,hub1
54,hub2
55,hub2
56,hub2
57,hub3
58,hub3
59,hub1
60,hub2
61,hub3
62,hub3
63,hub3
64,hub3
66,hub3
67,hub3
68,hub3
69,hub2
7,hub3
71,hub3
72,hub3
73,hub3
74,hub3
75,hub1
76,hub1
77,hub3
79,hub2
8,hub3
80,hub3
81,hub3
82,hub1
83,hub1
85,hub3
86,hub1
87,hub3
88,hub2
89,hub3
9,hub3
90,hub1
91,hub1
93,hub2
95,hub2
96,hub1
97,hub3
98,hub1
