target,hub
1,hub2
10,hub2
11,hub3
12,hub1
13,hub3
14,hub1
15,hub1
16,hub1
17,hub2
18,hub2
19,hub3
2,hub2
20,hub3
23,hub3
25,hub1
26,hub1
27,hub1
28,hub3
29,hub3
3,hub3
30,hub3
31,hub2
32,hub1
33,hub1
34,hub2
35,hub2
36,hub1
37,hub1
39,hub1
4,hub2
40,hub3
41,hub3
42,hub3
43,hub1
44,hub3
45,hub1
47,hub2
48,hub3
49,hub2
5,hub3
50,hub1
51,hub2
52,hub3
53,hub1
54,hub2
55,hub1
56,hub3
57,hub3
58,hub1
59,hub3
63,hub2
64,hub1
66,hub3
67,hub3
69,hub2
7,hub2
70,hub2
73,hub1
74,hub3
75,hub2
77,hub2
78,hub3
79,hub1
8,hub1
80,hub3
81,hub1
82,hub1
83,hub1
84,hub3
85,hub3
86,hub3
87,hub1
88,hub1
89,hub1
90,hub3
94,hub3
95,hub1
96,hub1
98,hub3
