target,hub
1,hub2
10,hub2
100,hub3
11,hub2
12,hub3
13,hub3
14,hub1
15,hub3
20,hub3
21,hub2
22,hub2
24,hub3
26,hub2
27,hub2
28,hub2
29,hub2
3,hub2
30,hub2
31,hub3
32,hub1
34,hub2
38,hub3
39,hub2
4,hub2
40,hub3
41,hub1
45,hub3
46,hub1
47,hub3
48,hub2
49,hub2
50,hub3
51,hub2
52,hub1
54,hub3
58,hub3
59,hub2
6,hub2
60,hub2
61,hub2
62,hub3
63,hub3
64,hub3
65,hub2
66,hub2
68,hub1
69,hub3
7,hub1
70,hub3
72,hub3
73,hub2
74,hub2
75,hub1
76,hub3
77,hub2
78,hub1
79,hub3
8,hub3
80,hub3
81,hub1
82,hub2
83,hub3
84,hub1
85,hub3
86,hub2
89,hub1
9,hub3
90,hub2
91,hub3
92,hub1
94,hub2
96,hub3
97,hub3
98,hub3
99,hub1
