target,hub
1,hub2
10,hub2
13,hub1
16,hub2
17,hub1
18,hub3
19,hub3
20,hub3
21,hub3
22,hub2
23,hub2
24,hub2
25,hub1
27,hub1
28,hub1
29,hub3
3,hub3
30,hub1
32,hub1
33,hub1
34,hub1
35,hub1
37,hub1
38,hub2
39,hub1
4,hub1
40,hub2
41,hub2
42,hub1
43,hub1
44,hub1
45,hub2
46,hub3
48,hub1
49,hub3
5,hub1
50,hub2
52,hub3
53,hub1
54,hub1
57,hub3
58,hub1
59,hub3
6,hub3
60,hub2
61,hub2
62,hub1
63,hub1
64,hub2
66,hub1
69,hub1
7,hub1
70,hub1
71,hub1
72,hub3
74,hub2
75,hub1
76,hub1
77,hub1
78,hub1
79,hub1
8,hub1
80,hub1
81,hub2
84,hub1
85,hub1
86,hub1
87,hub1
88,hub1
89,hub1
9,hub1
90,hub2
91,hub1
92,hub1
93,hub2
95,hub2
96,hub3
97,hub1
99,hub1
