target,hub
10,hub1
100,hub3
11,hub3
13,hub3
14,hub1
15,hub3
16,hub2
17,hub2
19,hub2
2,hub3
20,hub3
21,hub3
22,hub2
23,hub2
24,hub2
25,hub2
27,hub1
28,hub1
29,hub2
3,hub1
30,hub1
32,hub2
34,hub2
38,hub2
39,hub3
4,hub2
40,hub1
42,hub1
43,hub2
44,hub1
46,hub1
47,hub2
48,hub3
49,hub1
5,hub3
50,hub2
51,hub3
52,hub2
53,hub2
55,hub2
56,hub1
57,hub2
58,hub2
59,hub1
6,hub1
61,hub3
62,hub2
63,hub3
64,hub2
65,hub2
66,hub1
67,hub2
68,hub3
69,hub2
7,hub2
70,hub3
72,hub2
73,hub1
74,hub2
75,hub2
76,hub2
77,hub3
78,hub1
79,hub1
81,hub2
82,hub2
83,hub3
87,hub2
89,hub3
9,hub1
90,hub1
91,hub2
92,hub1
94,hub1
95,hub1
96,hub3
97,hub1
