target,hub
1,hub3
10,hub3
100,hub1
12,hub1
14,hub2
15,hub1
16,hub1
17,hub1
19,hub2
20,hub1
22,hub3
23,hub1
25,hub1
26,hub1
27,hub3
28,hub1
30,hub2
31,hub3
32,hub2
36,hub1
37,hub2
38,hub1
39,hub1
4,hub2
40,hub3
42,hub1
43,hub2
44,hub3
45,hub2
46,hub1
48,hub1
5,hub1
50,hub3
51,hub1
52,hub1
54,hub1
55,hub3
56,hub1
57,hub1
58,hub3
59,hub2
6,hub2
60,hub1
61,hub2
62,hub1
64,hub2
66,hub3
68,hub2
70,hub1
71,hub1
74,hub2
75,hub2
76,hub2
77,hub2
79,hub2
8,hub1
80,hub1
81,hub1
82,hub1
83,hub1
84,hub1
85,hub2
86,hub3
87,hub1
88,hub2
89,hub2
9,hub1
90,hub1
91,hub1
92,hub1
93,hub1
94,hub3
95,hub2
96,hub1
97,hub2
99,hub1
