target,hub
10,hub3
11,hub1
12,hub1
13,hub3
14,hub1
15,hub2
18,hub2
19,hub1
20,hub3
21,hub2
22,hub2
23,hub1
24,hub3
25,hub1
26,hub3
27,hub2
28,hub2
30,hub3
33,hub1
37,hub2
38,hub3
39,hub2
4,hub3
40,hub3
41,hub3
42,hub1
43,hub3
44,hub2
46,hub3
47,hub3
48,hub1
49,hub2
50,hub2
52,hub3
53,hub1
54,hub2
55,hub3
57,hub1
58,hub2
59,hub1
6,hub1
60,hub2
61,hub1
62,hub1
63,hub1
64,hub1
66,hub3
67,hub1
68,hub3
69,hub2
7,hub3
70,hub2
71,hub2
72,hub3
73,hub1
74,hub2
75,hub1
76,hub2
77,hub3
78,hub2
79,hub1
8,hub1
80,hub2
81,hub2
83,hub3
86,hub2
87,hub1
88,hub3
89,hub2
9,hub2
91,hub1
94,hub3
95,hub3
96,hub2
97,hub3
98,hub3
99,hub3
