target,hub
1,hub1
10,hub3
100,hub3
11,hub1
12,hub2
13,hub2
14,hub2
15,hub2
16,hub2
17,hub3
18,hub2
19,hub1
2,hub3
20,hub2
21,hub3
22,hub3
24,hub1
25,hub3
27,hub3
28,hub2
29,hub2
3,hub1
30,hub1
31,hub3
32,hub3
33,hub1
35,hub2
36,hub2
37,hub3
39,hub1
40,hub3
42,hub3
43,hub3
44,hub1
45,hub2
46,hub1
47,hub1
49,hub1
5,hub1
50,hub3
52,hub3
53,hub3
54,hub3
55,hub3
56,hub1
57,hub1
58,hub3
59,hub3
6,hub1
61,hub2
62,hub1
63,hub2
65,hub2
68,hub3
69,hub1
7,hub2
71,hub2
72,hub3
74,hub1
78,hub3
79,hub2
80,hub3
81,hub1
82,hub2
84,hub3
85,hub2
86,hub3
88,hub3
9,hub1
90,hub1
92,hub3
94,hub3
95,hub2
96,hub3
97,hub1
