target,hub
1,hub3
11,hub2
12,hub1
13,hub2
14,hub2
15,hub1
18,hub1
2,hub2
21,hub2
22,hub3
23,hub2
24,hub3
26,hub2
27,hub3
28,hub1
29,hub1
3,hub3
30,hub3
31,hub3
32,hub2
33,hub2
35,hub2
36,hub3
38,hub2
40,hub3
41,hub2
42,hub3
43,hub2
44,hub1
45,hub2
46,hub1
49,hub3
5,hub3
50,hub2
51,hub1
52,hub3
55,hub3
57,hub3
58,hub3
59,hub1
6,hub2
60,hub1
61,hub3
62,hub3
63,hub3
64,hub2
65,hub3
67,hub1
68,hub2
69,hub2
7,hub3
70,hub3
71,hub2
72,hub2
73,hub2
75,hub3
76,hub2
77,hub3
79,hub1
8,hub3
80,hub1
81,hub2
82,hub2
83,hub3
86,hub1
87,hub2
89,hub3
9,hub2
90,hub2
91,hub1
92,hub1
93,hub2
94,hub2
95,hub1
96,hub2
97,hub2
98,hub2
99,hub3
