target,hub
10,hub1
100,hub2
12,hub3
13,hub3
14,hub3
15,hub1
16,hub1
17,hub1
18,hub1
2,hub1
20,hub1
21,hub2
22,hub3
25,hub3
26,hub2
27,hub3
28,hub3
29,hub2
30,hub2
31,hub3
32,hub3
33,hub1
35,hub1
36,hub2
37,hub3
38,hub1
39,hub3
4,hub1
40,hub3
41,hub2
42,hub1
43,hub2
44,hub2
45,hub1
48,hub1
49,hub1
5,hub1
50,hub1
51,hub1
52,hub2
53,hub1
55,hub1
56,hub3
57,hub3
58,hub1
59,hub3
6,hub3
60,hub1
61,hub3
62,hub1
64,hub3
66,hub2
67,hub1
68,hub1
69,hub1
71,hub1
72,hub1
73,hub1
78,hub1
79,hub3
8,hub1
80,hub3
85,hub2
86,hub2
88,hub1
89,hub1
90,hub3
91,hub1
92,hub3
93,hub1
94,hub1
95,hub3
97,hub2
99,hub3
