target,hub
1,hub1
100,hub3
11,hub2
13,hub2
14,hub1
15,hub2
16,hub3
18,hub2
19,hub2
21,hub3
22,hub3
23,hub3
24,hub3
25,hub1
26,hub3
27,hub3
28,hub2
29,hub3
3,hub2
30,hub3
31,hub3
32,hub1
33,hub3
35,hub3
36,hub3
37,hub3
38,hub3
40,hub3
41,hub3
45,hub2
48,hub1
5,hub3
50,hub1
51,hub1
52,hub3
54,hub3
56,hub1
57,hub2
58,hub3
6,hub2
60,hub3
61,hub1
62,hub1
63,hub1
65,hub2
66,hub1
7,hub1
70,hub3
72,hub2
75,hub3
77,hub3
78,hub3
79,hub3
8,hub1
80,hub2
81,hub3
83,hub3
84,hub3
85,hub2
86,hub1
87,hub1
88,hub2
89,hub1
9,hub1
90,hub3
91,hub1
92,hub2
94,hub2
95,hub3
96,hub3
97,hub2
99,hub3
