target,hub
1,hub3
10,hub1
12,hub3
14,hub1
15,hub2
17,hub3
2,hub1
22,hub1
23,hub2
24,hub3
25,hub2
26,hub1
27,hub2
28,hub2
29,hub3
30,hub1
31,hub2
32,hub3
34,hub2
35,hub2
36,hub1
37,hub3
38,hub3
39,hub1
4,hub2
40,hub1
41,hub1
42,hub3
43,hub1
44,hub3
46,hub1
47,hub1
48,hub3
49,hub3
5,hub3
50,hub3
51,hub3
52,hub2
54,hub2
55,hub3
57,hub2
59,hub2
6,hub2
60,hub1
61,hub1
64,hub2
65,hub2
66,hub1
67,hub1
68,hub3
70,hub2
71,hub3
76,hub2
77,hub2
78,hub3
8,hub2
80,hub1
81,hub2
83,hub1
84,hub2
85,hub2
86,hub3
87,hub3
88,hub2
89,hub3
9,hub1
90,hub2
91,hub2
92,hub1
93,hub3
95,hub2
96,hub3
97,hub3
98,hub1
99,hub1
