target,hub
1,hub1
10,hub3
100,hub3
11,hub2
12,hub1
13,hub1
14,hub1
16,hub2
18,hub1
19,hub2
2,hub2
22,hub2
25,hub3
26,hub1
28,hub3
29,hub3
30,hub2
31,hub1
32,hub1
34,hub1
35,hub2
36,hub1
39,hub1
4,hub1
40,hub3
41,hub3
44,hub1
45,hub1
46,hub1
47,hub1
49,hub2
5,hub3
50,hub3
52,hub2
53,hub3
54,hub2
55,hub1
56,hub1
57,hub2
58,hub2
59,hub3
60,hub2
61,hub3
62,hub3
63,hub3
64,hub1
65,hub2
67,hub1
68,hub1
69,hub1
70,hub1
71,hub1
72,hub2
73,hub1
74,hub3
75,hub1
77,hub3
78,hub3
79,hub1
8,hub1
81,hub1
82,hub3
83,hub2
84,hub3
85,hub2
86,hub3
88,hub2
89,hub3
90,hub1
91,hub1
92,hub3
94,hub1
95,hub1
96,hub3
97,hub1
98,hub1
