target,hub
1,hub1
10,hub2
100,hub3
11,hub3
12,hub2
13,hub1
14,hub1
18,hub3
19,hub1
2,hub1
20,hub2
21,hub1
23,hub1
24,hub3
25,hub2
28,hub3
29,hub2
30,hub1
33,hub1
35,hub1
36,hub3
37,hub1
39,hub2
4,hub1
40,hub3
41,hub2
42,hub1
43,hub2
44,hub3
45,hub1
46,hub1
47,hub3
48,hub1
49,hub1
5,hub1
50,hub2
51,hub1
52,hub3
53,hub2
55,hub2
57,hub3
59,hub2
6,hub1
60,hub2
61,hub3
62,hub3
63,hub3
64,hub1
66,hub3
67,hub3
68,hub1
69,hub1
7,hub3
70,hub3
71,hub2
72,hub2
73,hub3
74,hub2
76,hub1
77,hub3
78,hub1
79,hub1
8,hub1
81,hub1
82,hub3
83,hub2
84,hub1
86,hub1
88,hub2
89,hub3
9,hub3
91,hub1
93,hub2
94,hub3
95,hub3
97,hub1
98,hub3
99,hub2
