target,hub
1,hub2
10,hub3
100,hub3
11,hub1
12,hub3
14,hub3
15,hub2
16,hub1
17,hub3
19,hub1
2,hub2
20,hub2
21,hub3
22,hub3
24,hub1
25,hub2
27,hub3
28,hub2
3,hub3
31,hub2
32,hub1
33,hub3
34,hub2
35,hub2
36,hub2
37,hub1
38,hub3
39,hub2
4,hub3
40,hub2
41,hub1
42,hub2
44,hub2
45,hub2
46,hub3
47,hub2
5,hub2
50,hub2
51,hub3
52,hub3
53,hub2
55,hub3
57,hub2
58,hub2
59,hub2
60,hub2
61,hub1
62,hub3
64,hub3
66,hub3
67,hub3
68,hub2
69,hub2
7,hub2
70,hub3
71,hub1
72,hub3
73,hub2
74,hub2
75,hub3
76,hub3
77,hub3
78,hub1
79,hub3
81,hub3
82,hub3
83,hub2
84,hub3
86,hub2
87,hub1
88,hub3
89,hub1
9,hub1
90,hub2
91,hub2
93,hub1
97,hub2
99,hub2
