target,hub
1,hub1
10,hub3
100,hub2
11,hub3
12,hub1
15,hub1
16,hub1
17,hub1
18,hub1
19,hub3
2,hub1
20,hub2
21,hub3
22,hub3
23,hub3
24,hub1
25,hub3
28,hub1
29,hub3
31,hub2
32,hub3
34,hub2
35,hub2
36,hub2
39,hub2
4,hub1
41,hub2
43,hub3
45,hub3
46,hub3
47,hub3
48,hub2
49,hub3
50,hub1
51,hub2
52,hub1
53,hub1
54,hub2
56,hub3
57,hub2
59,hub2
6,hub3
61,hub1
62,hub1
63,hub1
64,hub3
65,hub1
66,hub3
67,hub3
68,hub3
69,hub3
71,hub3
72,hub3
74,hub3
75,hub3
76,hub2
77,hub2
79,hub1
81,hub3
82,hub3
83,hub3
84,hub3
86,hub3
88,hub3
90,hub2
91,hub1
92,hub2
94,hub1
95,hub2
96,hub1
97,hub1
99,hub1
