target,hub
1,hub3
10,hub2
100,hub3
12,hub1
13,hub2
14,hub1
17,hub3
18,hub3
19,hub2
2,hub2
21,hub3
22,hub1
25,hub3
26,hub2
27,hub3
28,hub1
29,hub2
30,hub2
31,hub2
32,hub1
33,hub3
34,hub3
35,hub1
36,hub1
37,hub1
38,hub1
39,hub1
41,hub3
42,hub3
44,hub2
46,hub2
48,hub3
49,hub3
5,hub2
50,hub1
51,hub2
52,hub2
53,hub3
54,hub3
55,hub1
56,hub1
57,hub2
58,hub2
6,hub1
60,hub2
61,hub1
63,hub1
64,hub1
65,hub2
66,hub3
67,hub3
68,hub2
69,hub2
70,hub3
71,hub1
72,hub2
73,hub1
74,hub2
75,hub2
77,hub1
78,hub3
80,hub2
81,hub2
83,hub1
84,hub1
85,hub2
86,hub2
87,hub2
89,hub2
9,hub2
91,hub1
92,hub1
95,hub1
97,hub3
99,hub3
