target,hub
1,hub1
10,hub2
100,hub2
11,hub1
12,hub2
13,hub3
14,hub3
15,hub3
16,hub1
17,hub3
19,hub2
2,hub2
20,hub3
21,hub3
23,hub3
24,hub3
25,hub3
27,hub2
28,hub3
29,hub2
3,hub2
30,hub2
31,hub3
32,hub1
33,hub2
34,hub3
35,hub2
36,hub1
37,hub2
39,hub3
4,hub1
40,hub3
42,hub2
44,hub1
45,hub2
46,hub1
47,hub3
49,hub2
5,hub2
50,hub2
52,hub2
53,hub3
54,hub2
55,hub2
56,hub2
57,hub2
58,hub1
6,hub2
60,hub2
61,hub2
62,hub2
63,hub2
65,hub3
68,hub2
69,hub2
7,hub2
70,hub3
71,hub2
72,hub3
74,hub3
76,hub3
78,hub3
79,hub1
8,hub1
80,hub3
82,hub2
83,hub3
84,hub3
85,hub3
86,hub3
87,hub3
9,hub3
90,hub3
93,hub2
94,hub1
95,hub2
96,hub3
98,hub3
