target,hub
1,hub3
12,hub3
13,hub1
14,hub2
15,hub1
16,hub2
17,hub3
18,hub3
19,hub1
20,hub1
21,hub3
22,hub1
23,hub3
24,hub2
25,hub3
26,hub1
27,hub2
28,hub2
29,hub3
3,hub2
30,hub1
31,hub3
32,hub2
33,hub1
35,hub3
36,hub2
38,hub3
39,hub3
4,hub2
40,hub3
41,hub2
42,hub2
43,hub2
44,hub2
45,hub2
46,hub2
47,hub1
48,hub3
5,hub3
50,hub3
51,hub2
52,hub3
53,hub1
54,hub3
55,hub1
58,hub3
60,hub2
62,hub2
63,hub2
64,hub1
65,hub2
67,hub3
69,hub1
7,hub2
70,hub2
71,hub3
72,hub1
73,hub1
74,hub3
75,hub3
76,hub1
77,hub1
79,hub3
8,hub2
80,hub2
82,hub2
83,hub3
86,hub3
87,hub3
88,hub2
9,hub2
90,hub2
91,hub2
93,hub1
95,hub2
96,hub3
98,hub1
