,ClusterID
cell1736,3
cell1945,2
cell657,0
cell413,1
cell1963,2
cell1363,0
cell511,2
cell945,0
cell66,0
cell961,0
cell869,0
cell1117,0
cell668,0
cell41,0
cell1115,0
cell473,2
cell1602,3
cell446,2
cell1893,2
cell38,0
cell1807,2
cell559,2
cell312,1
cell1641,3
cell1919,2
cell225,0
cell535,2
cell223,0
cell1023,0
cell1996,2
cell1864,2
cell540,2
cell1950,2
cell1816,2
cell557,2
cell1814,2
cell1844,2
cell346,1
cell1993,2
cell1708,3
cell198,0
cell289,1
cell912,0
cell616,0
cell13,0
cell806,0
cell300,1
cell302,1
cell1595,3
cell210,0
cell1481,0
cell824,0
cell759,0
cell1725,3
cell1196,0
cell818,0
cell1622,3
cell596,0
cell1620,3
cell174,0
cell45,0
cell887,0
cell732,0
cell178,0
cell1751,3
cell638,0
cell1749,3
cell1789,3
cell701,0
cell1273,0
cell21,0
cell92,0
cell658,0
cell1884,2
cell1143,0
cell1976,2
cell1927,2
cell1928,2
cell623,0
cell1675,3
cell662,0
cell1483,0
cell677,0
cell1443,0
cell1991,2
cell1617,3
cell870,0
cell425,2
cell1068,0
cell899,0
cell1269,0
cell96,0
cell1637,3
cell101,0
cell867,0
cell1978,2
cell1352,0
cell1405,0
cell203,0
cell1656,3
cell241,0
cell172,0
cell1938,2
cell536,2
cell1139,0
cell1910,2
cell212,0
cell1500,0
cell1163,0
cell54,0
cell1874,2
cell1111,0
cell417,2
cell1771,3
cell1164,0
cell480,2
cell960,0
cell248,1
cell784,0
cell338,1
cell1488,0
cell874,0
cell1777,3
cell1039,0
cell984,0
cell695,0
cell1590,3
cell564,2
cell1271,0
cell1627,3
cell1535,0
cell1532,0
cell23,0
cell1268,0
cell1886,2
cell648,0
cell1851,2
cell1871,2
cell421,2
cell109,0
cell1791,3
cell665,0
cell809,0
cell1124,0
cell1568,3
cell991,0
cell131,0
cell1806,2
cell556,2
cell981,0
cell1159,0
cell1960,2
cell1080,0
cell613,0
cell165,0
cell594,0
cell1823,2
cell1680,3
cell321,1
cell1077,0
cell731,0
cell846,0
cell62,0
cell1621,3
cell1240,0
cell374,1
cell1506,0
cell611,0
cell977,0
cell1460,0
cell1686,3
cell57,0
cell491,2
cell724,0
cell55,0
cell247,0
cell1319,0
cell1831,2
cell1414,0
cell463,2
cell963,0
cell1208,0
cell1206,0
cell876,0
cell1873,2
cell1847,2
cell522,2
cell1625,3
cell36,0
cell1246,0
cell1213,0
cell365,1
cell1333,0
cell1790,3
cell1809,2
cell318,1
cell1692,3
cell669,0
cell1549,3
cell949,0
cell227,0
cell529,2
cell787,0
cell64,0
cell1254,0
cell567,2
cell1306,0
cell1174,0
cell94,0
cell1508,0
cell1915,2
cell836,0
cell1782,3
cell1298,0
cell1081,0
cell1387,0
cell751,0
cell1335,0
cell1466,0
cell1373,0
cell913,0
cell1140,0
cell663,0
cell1516,0
cell497,2
cell1657,3
cell136,0
cell1899,2
cell626,0
cell681,0
cell686,0
cell643,0
cell1840,2
cell929,0
cell1722,3
cell304,1
cell992,0
cell1536,0
cell167,0
cell400,1
cell1923,2
cell1515,0
cell1731,3
cell1415,0
cell973,0
cell1062,0
cell1262,0
cell102,0
cell573,2
cell1157,0
cell12,0
cell1986,2
cell323,1
cell1089,0
cell1113,0
cell547,2
cell1424,0
cell1033,0
cell1683,3
cell1935,2
cell1584,3
cell1384,0
cell1499,0
cell398,1
cell1106,0
cell1922,2
cell1889,2
cell1594,3
cell1283,0
cell428,2
cell1104,0
cell1018,0
cell582,2
cell443,2
cell1822,2
cell1583,3
cell1030,0
cell1308,0
cell550,2
cell1706,3
cell898,0
cell1813,2
cell250,1
cell80,0
cell403,1
cell1564,3
cell1547,3
cell891,0
cell1175,0
cell933,0
cell882,0
cell95,0
cell863,0
cell627,0
cell1418,0
cell1477,0
cell1347,0
cell287,1
cell1464,0
cell484,2
cell1518,0
cell957,0
cell1048,0
cell2000,2
cell489,2
cell1425,0
cell1982,2
cell73,0
cell640,0
cell396,1
cell1827,2
cell1354,0
cell269,1
cell554,2
cell1592,3
cell1295,0
cell1100,0
cell850,0
cell856,0
cell268,1
cell978,0
cell1137,0
cell1031,0
cell1684,3
cell1245,0
cell1237,0
cell1496,0
cell1612,3
cell1803,2
cell1962,2
cell356,1
cell119,0
cell1502,0
cell703,0
cell1716,3
cell803,0
cell1371,0
cell633,0
cell1456,0
cell1781,3
cell998,0
cell1540,0
cell629,0
cell180,0
cell1411,0
cell1194,0
cell997,0
cell216,0
cell87,0
cell103,0
cell373,1
cell1539,0
cell60,0
cell1301,0
cell748,0
cell621,0
cell1289,0
cell881,0
cell1090,0
cell1394,0
cell819,0
cell442,2
cell745,0
cell258,1
cell842,0
cell1879,2
cell1288,0
cell1737,3
cell1593,3
cell995,0
cell631,0
cell1610,3
cell1114,0
cell459,2
cell1098,0
cell578,2
cell820,0
cell1804,2
cell1630,3
cell255,1
cell1391,0
cell605,0
cell1337,0
cell659,0
cell234,0
cell117,0
cell1195,0
cell67,0
cell716,0
cell335,1
cell142,0
cell671,0
cell1331,0
cell798,0
cell1217,0
cell213,0
cell1710,3
cell153,0
cell1392,0
cell332,1
cell229,0
cell1655,3
cell1597,3
cell1850,2
cell1794,3
cell805,0
cell1017,0
cell1650,3
cell1639,3
cell1236,0
cell1247,0
cell660,0
cell1397,0
cell226,0
cell392,1
cell1296,0
cell1894,2
cell1028,0
cell1227,0
cell324,1
cell188,0
cell1729,3
cell786,0
cell676,0
cell448,2
cell1474,0
cell1877,2
cell1812,2
cell1933,2
cell1330,0
cell577,2
cell778,0
cell1442,0
cell1560,3
cell1082,0
cell354,1
cell401,1
cell1291,0
cell1757,3
cell1450,0
cell932,0
cell1558,3
cell1551,3
cell595,0
cell1421,0
cell620,0
cell756,0
cell461,2
cell1232,0
cell499,2
cell907,0
cell1191,0
cell840,0
cell1131,0
cell943,0
cell185,0
cell729,0
cell1758,3
cell1700,3
cell1359,0
cell1766,3
cell954,0
cell936,0
cell1742,3
cell508,2
cell1350,0
cell1507,0
cell1369,0
cell1934,2
cell1653,3
cell1401,0
cell1723,3
cell510,2
cell1825,2
cell644,0
cell823,0
cell1326,0
cell108,0
cell1162,0
cell1324,0
cell555,2
cell1905,2
cell426,2
cell866,0
cell343,1
cell723,0
cell1309,0
cell183,0
cell1980,2
cell791,0
cell1388,0
cell201,0
cell1192,0
cell1233,0
cell487,2
cell1648,3
cell1074,0
cell1631,3
cell862,0
cell1598,3
cell375,1
cell1172,0
cell434,2
cell1050,0
cell1385,0
cell445,2
cell357,1
cell43,0
cell1647,3
cell89,0
cell808,0
cell1147,0
cell494,2
cell264,1
cell1453,0
cell1368,0
cell134,0
cell1006,0
cell1452,0
cell1318,0
